prompt,completion
How was the scene?,0
What can lead to an overdose and how can cocaine affect you?,1
Of what nationality were most of the ministers of the Church of Tuvalu?,0
What could cause the failure of a capacitor?,0
How are children used in the conflicts in Burma?,0
How is the detail?,0
i might have thyroid issues that arent showing up on bloodwork ive gained weight taking kelp and now losing weight so is it thyroid if im losing?,1
What is the taste of chocolate syrup?,0
When might my doctor need to adjust my medicine for summer depression?,1
interested to know how does vencetacil treat lymphedema?,1
How is taste ?,0
What movement made a permanent mark on Protestantism in the U.S.?,0
Early papermakers added alum to help in what process?,0
Electronic theft of data is causing more loss than what? ,0
What are kidney infections?,1
What makes you more likely to get rheumatoid arthritis?,1
What is the treatment for high-grade astrocytomas?,1
"During the battles in Damascus, the attack on which city was know for its brutality?",0
pregnancy weight gain problems. if starting out overweight and trying to lose weight what is a guideline?,1
What should I do to help my cat's pregnancy?,1
what do you suggest if i'm suffering from overweight problem?,1
Durango and Coahuila had a military confrontation over what natural resource?,0
i need advice with gynecomastia?,1
WWhat does Rías Baixas mean?,0
How is the parking?,0
Does deep breathing help with stress if you have ulcerative colitis?,1
How are the Santa Monica per-capita crime rates calculated?,0
hot water burn blister popped. what should i do so it doesn't get infected and gets healed quick? how long will it take to heal?,1
Will you need physical therapy after surgery for a rotator cuff problem?,1
i've black spots on my nipple that appeared recently could it be breast cancer?,1
How is an underactive thyroid treated relative to a thyroid stimulating hormone test?,1
does stanozolol help to reduce weight?,1
Zener diodes below what voltage are not widely available?,0
metastatis breast cancer stage iv. what are the chances of survival. already gone six sittings of chemo.,1
Does polycythemia vera lead to other health problems?,1
diagnosed w/ ducal carcinoma in situ 5/13. am menopausal. had lumpectomy and radiation. now on tamoxifen. am rn and at conference heard arimidex (anastrozole).,1
What races are considered for full citizenship in Burma?,0
Is it fine to exercise with knee pain?,1
How can your dental crown fall off?,1
how does a girl lose weight from her waist and hips?,1
What are severe problems from taking cholesterol drugs?,1
can you give me suggestions for pros and cons for breast reconstruction.?,1
How many calorie have this yogurt?,0
what is the most effective treatment for coronary heart disease?,1
will plastic surgeons offer a discount if you have a tummy tuck and a boob job at the same time?,1
what is the best position to be in after the angiogram?,1
what is the difference between the symptoms of vertigo and symptoms of orthostatic hypotension?,1
would it be helpful to drink a tablespoon of olive oil a day to gain (healthy) weight and improve hair/skin?,1
"If you have MDS, will you get leukemia?",1
What is the quality of the service?,0
How can I prepare for long exercise sessions if I have diabetes?,1
Can posttraumatic stress disorder (PTSD) be prevented?,1
What is used to improve blood clotting caused by subdural hematomas?,1
How long will I stay on antidepressants?,1
What size would you find good?,0
What nursing school does The Good Shepherd Hospital contain?,0
What is the most common cause of osteoporosis-related back pain?,1
How is the packaging of the soup that you bought?,0
why would a lymph node enlarge under the armpit in a female?,1
At which cathedral is the pointed arch used to match the heights of transverse and diagonal vaults?,0
How often should I exercise?,1
How is kitchen?,0
What condition does an abnormal color usually indicate in wood?,0
What pressure influenced the shift in South Africa from the use of European Dutch in the 1920s?,0
What adjascent communities also hold a high Jewish population?,0
What computers is Maverick compatible with?,0
Who shouldn't get an endometrial ablation?,1
"i had this bump on the bottom lining of my right breast. when i ""popped""it blood & puss came out. but now the ""pimple"" is still hard? breastcancer?",1
"Why are several anthropologists dismissed from their jobs, according to David H. Price?",0
Children who have experienced sever diarrhea are more likely to have what effect?,1
How many bad things happen in this movie?,0
What are the various cocktails in this pub?,0
What physicists in the field of quantum theory have been influenced by Whitehead?,0
How is the emotion invoked was?,0
what can i do to have rapid weight gain and get healthy fat and muscle at the same time?,1
How is hysterosalpingogram (HSG) used as a fertility test for women?,1
Does the majority of fatalities from TB occur in developing countries or industrialized nations?,1
How does an overactive bladder affect children?,1
What could possibly lessen the cost of fixing buggy software?,0
should i be concerned if i feel like my heart is skipping beats in pregnancy?,1
i am using a liquid extract that contains natural saw palmetto fennel fenugreek. im 18 and i am wondering if these can cause breast cancer?,1
How is the food?,0
What makes sinusitis more likely in adults?,1
What movement occurred during the 1730's and 1740's?,0
Are there different types of skin cancers?,1
What is eye miosis?,1
What is Ebola? ,1
why do i always have skipped beats when having sex? echo ekg stress test x-ray blood tests. holter 24 hours all normal beside benign pvc/pac. im scared,1
are enlarged breasts a pms symptom?,1
What concept was created for quatum logic?,0
Do antibiotics cause obesity in humans?,1
will a breast ultrasound be accurate on last day or a day after period are gone? thank you,1
are lumps behind a man's nipple symptom of gynecomastia or cancer?,1
Where can I get bright music for my ears?,0
i have skinny legs but a moon face- how can i lose weight on face?,1
What number in the tens of thousands?,0
Can vomiting cause bodily injury?,1
does benflourex contribute to losing of weight?,1
How did you find the staff?,0
What comprises a major category in the world art collection?,0
dietician says portion control but if i eat even a bit less heartburn becomes uncontrollable 60mg nexium (esomeprazole) wont calm it down. d at a loss what to do?,1
What are the best foods to eat for a cold?,1
Was the dish excellent?,0
How is movie?,0
What problem can be caused by a player becoming out of alignment?,0
Why were the first buildings narrow?,0
do bras cause breast cancer by not allowing natural cooling of the mammary glands?,1
What concept helps map and define people's experiences of self in society?,0
does sudden weight loss always signal digestive health problems?,1
How can brown rice help with losing pregnancy weight for new moms?,1
Colonization reduced the power of what groups in the Congo River basin?,0
is there any effect of weight loss surgery on metabolic disorders?,1
France rose to power after what war?,0
Why are salts good  for thermal storage?,0
Federal Records Centers are particularly unhelpful to what type of research?,0
what are the risks associated with getting postural hypotension in the eye?,1
How are Africans classified in the Arabian Peninsula?,0
is 65 resting an alright pulse reading?,1
Is the book worth a penny?,0
What competitor did Arsenal defeat to win a league title in the 1988-89 season?,0
What can rheumatoid arthritis lead to?,1
At what point should I go to the doctor with abdominal pain? ,1
Youtube intends for users to watch videos where?,0
What prevented Armenia from getting it's commodities?,0
How is tuberculosis treated?,1
Dog training can be researched back to what century?,0
How is the scene?,0
How was the atmosphere?,0
i'm a 49 year old chinese menopausal woman. i got a lumpectomy done for a dcis interme grade. it was noninvasive. i have completed 6 weeks of radiation therapy. i have no previous history of breast cancer. is tamoxifenrequired?,1
What composer has Steven Spielberg been associated with since 1974?,0
In what condition is most water in the Antarctica?,0
How is nystagmus diagnosed?,1
What concept describes groups that can be related to each other via functions?,0
Is this book have a familiar name?,0
i am researching about breast implants and the size i want is e and i'm already a d. i need more information price ect.,1
How can getting out of bed help you get back to sleep?,1
Why are dogs seen as unclean in Islam?,0
i'm new in hemodialysis. howmis the best diet and nutrition for people with hemodialysis? thank you,1
Why are hydrocarbon pesticides not excreted?,0
Why has there been a several court cases against Sky and Premier League?,0
What are kidney stones?,1
Asking questions about an organization's needs will help to create what?,0
What is paying attention to what you eat important if you have cancer?,1
How long does a typical incandescent light bulb last?,0
How can you prevent deep vein thrombosis (DVT)?,1
What are vestibular migraines?,1
 What was the system Napoleon imposed though the Berlin Decree?,0
what might i do to go on a diet when the lunch at school is unhealthy?,1
From whom did the rulers of the Merovingian dynasty trace their ancestry?,0
for rolls of back fat would liposuction alone get rid of them or would u also need a back lift?,1
How was the cake?,0
What powers of a new UK police officer are the same as a Commissioner's?,0
How solid are the characters in this picture?,0
"Besides birds, what large animals travel from one pole to the other?",0
What comprised most of the early art of Mexico City?,0
How is the episode?,0
What is the skill of the messenger?,0
What can i do to calculate body fat percentage at home?,1
What object was assumed to block sunlight during a lunar eclipse?,0
What component of wood determines whether it is hardwood or softwood?,0
What makes a printer home switch work?,0
Broad terms in the laws allow for what?,0
Who is at risk for hypothermia?,1
Ethnohistory can study the history of what types of groups which may or may not exist today?,0
What causes a heart attack and heart failure?,1
What questions should I ask my doctor about storing insulin?,1
What noble family wielded power during the Heian period?,0
How are benign breast conditions caused by fibroadenomas or intraductal papillomas treated?,1
"If I start to feel symptoms of a mild or moderate insulin reaction, what should I do?",1
fats will starts to burn off after 30 mins of exercise. if so how can i motivate myself to exercise regularly? ive gained weight unnecessarily<negative_smiley>,1
Formation of what can be related to fungal mycelia?,0
What happens after being diagnosed with sepsis?,1
Should you apply cold or heat if you have cervical disc disease?,1
How is the level like?,0
Fuel asked Chris Daughtry to become what?,0
What is Burkitt lymphoma?,1
How did you like the egg?,0
When should you tell your doctor about side effects from prescription omega-3s to treat triglycerides?,1
Is it unusual to have high blood sugar in the morning?,1
is it actually true that breast growth/tenderness due to the pill will go away?,1
Where can I buy the good quality cable ?,0
By 2006 the GDP had dropped to what?,0
How are inhalers used to treat asthma?,1
could you describe the gland and hormone dysfunction that causes type 2 diabetes?,1
"At what New Haven establishment did ""apizza"" make it's inaugural appearance in 1925?",0
Do medications help with acute back pain?  ,1
What can happen if I take too much vitamin B6?,1
What questions should I ask my doctor about reusing syringes?,1
What omega-3 fatty acids can I get from what kinds of fish?,1
What component is added to bitumen to improve it?,0
At what wavelength is green on computer displays?,0
What is the positive side of ADHD at work?,1
How do cardinals sign traditionally?,0
What is Apremilast (Otezla) and some of its side effects?,1
What side effects are there from using antipsychotic drugs for bipolar disorder mania?,1
what are some remedies for constipation caused by a long-term liquid diet?,1
What profession does Andrew Holden smugly self-identify as?,0
In what conference did the Fighting Irish take part in in 2012?,0
How can I avoid spreading my cold to others?,1
How can you wear compression stockings?,1
What is the plot of the scene?,0
Why are seabirds from the southern hemisphere more likely to migrate?,0
During independant service mode how is a single cab in a hall kept from being used?,0
"Besides a blotter sheet, what can be used to collect water?",0
Does the video and pictures extremely sharp?,0
"During the bronze age, which metal was valued higher than gold in Europe and the Mediterranean?",0
How will I feel when I quit smoking?,1
"During ancient Greece, at what age were boys taught music?",0
Aspiration alters with what?,0
where are the heart valves?,1
What  does the immediate return system mean?,0
what kind of doctor specializes in sleep apnea if you are in a small town far from specialists?,1
What no wave-affiliated label was founded in 1978?,0
Of what nationality was Perrin?,0
What are hypomanic episodes like for people with bipolar II disorder?,1
is it better to have a higher heart rate working out or just go with what is comfortable?,1
How can I get some good potatoes in this hotel that bite you Get a crispy sound?,0
With what British band did Beyonce perform on their album?,0
Do you like it to taste good?,0
What often topped pilasters of columns?,0
why does atherosclerosis run in families? is it just a gene that runs through and you just naturally develop cardiovascular disease or is it because of the risk factors that run in families?,1
How can being overweight with rheumatoid arthritis (RA) affect your joints?,1
Why should you do something against high blood pressure?,1
