,prompt,completion
337,How was the scene?,0
44051,What can lead to an overdose and how can cocaine affect you?,1
631,Of what nationality were most of the ministers of the Church of Tuvalu?,0
1059,What could cause the failure of a capacitor?,0
548,How are children used in the conflicts in Burma?,0
156,How is the detail?,0
33445,i might have thyroid issues that arent showing up on bloodwork ive gained weight taking kelp and now losing weight so is it thyroid if im losing?,1
220,What is the taste of chocolate syrup?,0
12945,When might my doctor need to adjust my medicine for summer depression?,1
69807,interested to know how does vencetacil treat lymphedema?,1
294,How is taste ?,0
1452,What movement made a permanent mark on Protestantism in the U.S.?,0
422,Early papermakers added alum to help in what process?,0
439,Electronic theft of data is causing more loss than what? ,0
23305,What are kidney infections?,1
41320,What makes you more likely to get rheumatoid arthritis?,1
5051,What is the treatment for high-grade astrocytomas?,1
404,"During the battles in Damascus, the attack on which city was know for its brutality?",0
34204,pregnancy weight gain problems. if starting out overweight and trying to lose weight what is a guideline?,1
9280,What should I do to help my cat's pregnancy?,1
30382,what do you suggest if i'm suffering from overweight problem?,1
365,Durango and Coahuila had a military confrontation over what natural resource?,0
69726,i need advice with gynecomastia?,1
667,WWhat does Rías Baixas mean?,0
554,How is the parking?,0
44444,Does deep breathing help with stress if you have ulcerative colitis?,1
563,How are the Santa Monica per-capita crime rates calculated?,0
4317,hot water burn blister popped. what should i do so it doesn't get infected and gets healed quick? how long will it take to heal?,1
37168,Will you need physical therapy after surgery for a rotator cuff problem?,1
69772,i've black spots on my nipple that appeared recently could it be breast cancer?,1
24165,How is an underactive thyroid treated relative to a thyroid stimulating hormone test?,1
58933,does stanozolol help to reduce weight?,1
862,Zener diodes below what voltage are not widely available?,0
79344,metastatis breast cancer stage iv. what are the chances of survival. already gone six sittings of chemo.,1
8849,Does polycythemia vera lead to other health problems?,1
77553,diagnosed w/ ducal carcinoma in situ 5/13. am menopausal. had lumpectomy and radiation. now on tamoxifen. am rn and at conference heard arimidex (anastrozole).,1
1320,What races are considered for full citizenship in Burma?,0
21,Is it fine to exercise with knee pain?,1
35143,How can your dental crown fall off?,1
39767,how does a girl lose weight from her waist and hips?,1
10154,What are severe problems from taking cholesterol drugs?,1
75109,can you give me suggestions for pros and cons for breast reconstruction.?,1
237,How many calorie have this yogurt?,0
126973,what is the most effective treatment for coronary heart disease?,1
49613,will plastic surgeons offer a discount if you have a tummy tuck and a boob job at the same time?,1
116003,what is the best position to be in after the angiogram?,1
115811,what is the difference between the symptoms of vertigo and symptoms of orthostatic hypotension?,1
126151,would it be helpful to drink a tablespoon of olive oil a day to gain (healthy) weight and improve hair/skin?,1
7637,"If you have MDS, will you get leukemia?",1
486,What is the quality of the service?,0
14809,How can I prepare for long exercise sessions if I have diabetes?,1
31431,Can posttraumatic stress disorder (PTSD) be prevented?,1
5594,What is used to improve blood clotting caused by subdural hematomas?,1
12747,How long will I stay on antidepressants?,1
148,What size would you find good?,0
1405,What nursing school does The Good Shepherd Hospital contain?,0
36486,What is the most common cause of osteoporosis-related back pain?,1
263,How is the packaging of the soup that you bought?,0
118520,why would a lymph node enlarge under the armpit in a female?,1
200,At which cathedral is the pointed arch used to match the heights of transverse and diagonal vaults?,0
27841,How often should I exercise?,1
597,How is kitchen?,0
1200,What condition does an abnormal color usually indicate in wood?,0
1347,What pressure influenced the shift in South Africa from the use of European Dutch in the 1920s?,0
1237,What adjascent communities also hold a high Jewish population?,0
1148,What computers is Maverick compatible with?,0
18049,Who shouldn't get an endometrial ablation?,1
76651,"i had this bump on the bottom lining of my right breast. when i ""popped""it blood & puss came out. but now the ""pimple"" is still hard? breastcancer?",1
1291,"Why are several anthropologists dismissed from their jobs, according to David H. Price?",0
264,Children who have experienced sever diarrhea are more likely to have what effect?,1
20,How many bad things happen in this movie?,0
480,What are the various cocktails in this pub?,0
1365,What physicists in the field of quantum theory have been influenced by Whitehead?,0
54,How is the emotion invoked was?,0
32018,what can i do to have rapid weight gain and get healthy fat and muscle at the same time?,1
28037,How is hysterosalpingogram (HSG) used as a fertility test for women?,1
338,Does the majority of fatalities from TB occur in developing countries or industrialized nations?,1
44686,How does an overactive bladder affect children?,1
1074,What could possibly lessen the cost of fixing buggy software?,0
79919,should i be concerned if i feel like my heart is skipping beats in pregnancy?,1
73472,i am using a liquid extract that contains natural saw palmetto fennel fenugreek. im 18 and i am wondering if these can cause breast cancer?,1
490,How is the food?,0
2190,What makes sinusitis more likely in adults?,1
1454,What movement occurred during the 1730's and 1740's?,0
30726,Are there different types of skin cancers?,1
18837,What is eye miosis?,1
75,What is Ebola? ,1
101748,why do i always have skipped beats when having sex? echo ekg stress test x-ray blood tests. holter 24 hours all normal beside benign pvc/pac. im scared,1
74842,are enlarged breasts a pms symptom?,1
1172,What concept was created for quatum logic?,0
297,Do antibiotics cause obesity in humans?,1
51928,will a breast ultrasound be accurate on last day or a day after period are gone? thank you,1
73733,are lumps behind a man's nipple symptom of gynecomastia or cancer?,1
307,Where can I get bright music for my ears?,0
12174,i have skinny legs but a moon face- how can i lose weight on face?,1
1422,What number in the tens of thousands?,0
16719,Can vomiting cause bodily injury?,1
49950,does benflourex contribute to losing of weight?,1
569,How did you find the staff?,0
1141,What comprises a major category in the world art collection?,0
58248,dietician says portion control but if i eat even a bit less heartburn becomes uncontrollable 60mg nexium (esomeprazole) wont calm it down. d at a loss what to do?,1
10876,What are the best foods to eat for a cold?,1
412,Was the dish excellent?,0
351,How is movie?,0
1342,What problem can be caused by a player becoming out of alignment?,0
898,Why were the first buildings narrow?,0
73141,do bras cause breast cancer by not allowing natural cooling of the mammary glands?,1
1162,What concept helps map and define people's experiences of self in society?,0
50077,does sudden weight loss always signal digestive health problems?,1
22471,How can brown rice help with losing pregnancy weight for new moms?,1
273,Colonization reduced the power of what groups in the Congo River basin?,0
13775,is there any effect of weight loss surgery on metabolic disorders?,1
731,France rose to power after what war?,0
1284,Why are salts good  for thermal storage?,0
466,Federal Records Centers are particularly unhelpful to what type of research?,0
114540,what are the risks associated with getting postural hypotension in the eye?,1
539,How are Africans classified in the Arabian Peninsula?,0
88244,is 65 resting an alright pulse reading?,1
38,Is the book worth a penny?,0
1099,What competitor did Arsenal defeat to win a league title in the 1988-89 season?,0
41400,What can rheumatoid arthritis lead to?,1
42,At what point should I go to the doctor with abdominal pain? ,1
851,Youtube intends for users to watch videos where?,0
1352,What prevented Armenia from getting it's commodities?,0
29282,How is tuberculosis treated?,1
346,Dog training can be researched back to what century?,0
378,How is the scene?,0
496,How was the atmosphere?,0
67081,i'm a 49 year old chinese menopausal woman. i got a lumpectomy done for a dcis interme grade. it was noninvasive. i have completed 6 weeks of radiation therapy. i have no previous history of breast cancer. is tamoxifenrequired?,1
1124,What composer has Steven Spielberg been associated with since 1974?,0
618,In what condition is most water in the Antarctica?,0
19644,How is nystagmus diagnosed?,1
1149,What concept describes groups that can be related to each other via functions?,0
43,Is this book have a familiar name?,0
66871,i am researching about breast implants and the size i want is e and i'm already a d. i need more information price ect.,1
43562,How can getting out of bed help you get back to sleep?,1
964,Why are dogs seen as unclean in Islam?,0
11445,i'm new in hemodialysis. howmis the best diet and nutrition for people with hemodialysis? thank you,1
1271,Why are hydrocarbon pesticides not excreted?,0
643,Why has there been a several court cases against Sky and Premier League?,0
28880,What are kidney stones?,1
152,Asking questions about an organization's needs will help to create what?,0
7490,What is paying attention to what you eat important if you have cancer?,1
595,How long does a typical incandescent light bulb last?,0
12629,How can you prevent deep vein thrombosis (DVT)?,1
31958,What are vestibular migraines?,1
126, What was the system Napoleon imposed though the Berlin Decree?,0
8290,what might i do to go on a diet when the lunch at school is unhealthy?,1
514,From whom did the rulers of the Merovingian dynasty trace their ancestry?,0
61052,for rolls of back fat would liposuction alone get rid of them or would u also need a back lift?,1
419,How was the cake?,0
1356,What powers of a new UK police officer are the same as a Commissioner's?,0
366,How solid are the characters in this picture?,0
796,"Besides birds, what large animals travel from one pole to the other?",0
1140,What comprised most of the early art of Mexico City?,0
338,How is the episode?,0
67,What is the skill of the messenger?,0
77,What can i do to calculate body fat percentage at home?,1
1412,What object was assumed to block sunlight during a lunar eclipse?,0
1115,What component of wood determines whether it is hardwood or softwood?,0
1472,What makes a printer home switch work?,0
245,Broad terms in the laws allow for what?,0
23619,Who is at risk for hypothermia?,1
449,Ethnohistory can study the history of what types of groups which may or may not exist today?,0
27003,What causes a heart attack and heart failure?,1
14618,What questions should I ask my doctor about storing insulin?,1
1434,What noble family wielded power during the Heian period?,0
6162,How are benign breast conditions caused by fibroadenomas or intraductal papillomas treated?,1
21233,"If I start to feel symptoms of a mild or moderate insulin reaction, what should I do?",1
62469,fats will starts to burn off after 30 mins of exercise. if so how can i motivate myself to exercise regularly? ive gained weight unnecessarily<negative_smiley>,1
507,Formation of what can be related to fungal mycelia?,0
23494,What happens after being diagnosed with sepsis?,1
36955,Should you apply cold or heat if you have cervical disc disease?,1
252,How is the level like?,0
524,Fuel asked Chris Daughtry to become what?,0
29195,What is Burkitt lymphoma?,1
405,How did you like the egg?,0
10299,When should you tell your doctor about side effects from prescription omega-3s to treat triglycerides?,1
14549,Is it unusual to have high blood sugar in the morning?,1
68141,is it actually true that breast growth/tenderness due to the pill will go away?,1
150,Where can I buy the good quality cable ?,0
250,By 2006 the GDP had dropped to what?,0
2966,How are inhalers used to treat asthma?,1
53961,could you describe the gland and hormone dysfunction that causes type 2 diabetes?,1
179,"At what New Haven establishment did ""apizza"" make it's inaugural appearance in 1925?",0
39,Do medications help with acute back pain?  ,1
45079,What can happen if I take too much vitamin B6?,1
14687,What questions should I ask my doctor about reusing syringes?,1
10301,What omega-3 fatty acids can I get from what kinds of fish?,1
1108,What component is added to bitumen to improve it?,0
197,At what wavelength is green on computer displays?,0
131,What is the positive side of ADHD at work?,1
570,How do cardinals sign traditionally?,0
38576,What is Apremilast (Otezla) and some of its side effects?,1
4725,What side effects are there from using antipsychotic drugs for bipolar disorder mania?,1
7812,what are some remedies for constipation caused by a long-term liquid diet?,1
1329,What profession does Andrew Holden smugly self-identify as?,0
619,In what conference did the Fighting Irish take part in in 2012?,0
